,method,dataset,bias_n,seed,bias_delta,params,spearman,pairwise_calls,pairwise_calls_internal,listwise_calls,inferred_pairs,pairwise_api_calls,effective_calls_api
22,pruned_elo,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 12, 'prune_percent': 0.2}",0.9350918510918511,6755,0,0,0,6755,6755
23,pruned_elo_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 12, 'prune_percent': 0.2}",0.9772051732051732,6755,0,0,0,6755,6755
24,pruned_elo,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 16, 'prune_percent': 0.3}",0.94780403980404,8337,0,0,0,8337,8337
25,pruned_elo_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 24, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 16, 'prune_percent': 0.3}",0.9823922743922746,8337,0,0,0,8337,8337
26,listwise_rounds,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2, 'k': 10, 'overlap': 3, 'boundary_passes': 1, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9055407775407777,14808,12810,286,12810,1998,2284
27,listwise_rounds_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2, 'k': 10, 'overlap': 3, 'boundary_passes': 1, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9868124420211905,14808,12810,286,12810,1998,2284
28,listwise_rounds,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 3, 'k': 10, 'overlap': 3, 'boundary_passes': 1, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9521332961332962,22212,19215,429,19215,2997,3426
29,listwise_rounds_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 3, 'k': 10, 'overlap': 3, 'boundary_passes': 1, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9937280017280017,22212,19215,429,19215,2997,3426
30,listwise_rounds,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 3, 'k': 15, 'overlap': 3, 'boundary_passes': 2, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9623896463896465,32157,26163,252,26163,5994,6246
31,listwise_rounds_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 3, 'k': 15, 'overlap': 3, 'boundary_passes': 2, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9955096795096795,32157,26163,252,26163,5994,6246
32,listwise_rounds,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 3, 'k': 15, 'overlap': 3, 'boundary_passes': 4, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9698253218253219,38151,26163,252,26163,11988,12240
33,listwise_rounds_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 3, 'k': 15, 'overlap': 3, 'boundary_passes': 4, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9965574485574485,38151,26163,252,26163,11988,12240
34,listwise_rounds,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 3, 'k': 8, 'overlap': 2, 'boundary_passes': 2, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9543881103881104,19956,13962,501,13962,5994,6495
35,listwise_rounds_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 3, 'k': 8, 'overlap': 2, 'boundary_passes': 2, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9933575613575616,19956,13962,501,13962,5994,6495
36,listwise_rounds,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 3, 'k': 6, 'overlap': 2, 'boundary_passes': 2, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9538666738666739,17217,11223,750,11223,5994,6744
37,listwise_rounds_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 3, 'k': 6, 'overlap': 2, 'boundary_passes': 2, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9923167403167404,17217,11223,750,11223,5994,6744
38,listwise_rounds,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2, 'k': 12, 'overlap': 4, 'boundary_passes': 2, 'grouping_strategy': 'random', 'randomness_factor': 0.2}",0.9755971235971237,20420,16424,250,16424,3996,4246
39,listwise_rounds_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2, 'k': 12, 'overlap': 4, 'boundary_passes': 2, 'grouping_strategy': 'random', 'randomness_factor': 0.2}",0.9898192738192738,20420,16424,250,16424,3996,4246
40,listwise_rounds,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2, 'k': 10, 'overlap': 3, 'boundary_passes': 2, 'grouping_strategy': 'similar', 'randomness_factor': 0.1, 'listwise_call_budget': 120}",0.866218781519103,7398,5400,120,5400,1998,2118
